ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language,Cluster
1,31,Female,Married,1529.820781,3/16/2023,25166,980.816,Doctorate,Sikkim,Nurse,policy3,Email,policy3,Group,Email,Email,Weekends,Mandarin,1
2,63,Male,Widowed,2844.447947,6/21/2017,16321.8,124.187,Master's Degree,Punjab,Doctor,policy5,Mobile App,policy4,Family,In-Person Meeting,Text,Evening,German,3
3,34,Male,Divorced,4302.381764,7/31/2023,9997.6,148.024,High School Diploma,Mizoram,Doctor,policy3,Mobile App,policy1,Business,Email,Mail,Anytime,German,2
4,51,Male,Single,2642.915467,10/5/2023,13911.6,318.735,Bachelor's Degree,Chhattisgarh,Manager,policy2,Mobile App,policy4,Group,In-Person Meeting,In-Person Meeting,Evening,French,2
5,29,Male,Single,8317.28256,9/21/2021,31365.3,42.681,Master's Degree,Tripura,Teacher,policy5,Phone,policy4,Group,Text,Text,Afternoon,Mandarin,4
6,36,Male,Married,2746.237079,3/13/2020,34194,1000.763,Doctorate,Telangana,Lawyer,policy3,In-Person,policy3,Business,Phone,Text,Morning,French,2
7,44,Male,Married,10333.85997,8/7/2022,9806.8,20.434,Bachelor's Degree,Delhi,Engineer,policy2,In-Person,policy3,Business,Email,Mail,Evening,German,4
8,62,Male,Married,4129.08387,5/20/2013,32332.6,232.475,High School Diploma,Tripura,Salesperson,policy1,In-Person,policy2,Group,Mail,Email,Weekends,German,3
9,37,Male,Single,9349.552461,1/30/2022,8854.6,20.294,Doctorate,Maharashtra,Teacher,policy2,Chat,policy4,Business,Phone,Phone,Weekends,English,4
10,18,Male,Separated,1902.483643,7/2/2024,41725.7,1788.001,High School Diploma,Telangana,Nurse,policy5,Mobile App,policy1,Family,Email,Email,Anytime,German,1
11,38,Male,Divorced,2124.907935,11/26/2022,39723.4,589.095,Doctorate,Uttar Pradesh,Nurse,policy5,Phone,policy2,Business,Email,In-Person Meeting,Afternoon,Spanish,2
12,21,Male,Separated,1892.661566,9/1/2023,13667.2,430.106,Master's Degree,Manipur,Artist,policy5,In-Person,policy4,Business,Mail,Email,Anytime,English,1
13,34,Male,Single,4095.398782,6/8/2023,40291.2,1018.846,Associate Degree,Jharkhand,Nurse,policy2,Chat,policy2,Business,Phone,Phone,Afternoon,German,2
14,61,Female,Married,3596.407038,4/3/2019,39998.2,203.053,Bachelor's Degree,Assam,Artist,policy3,Mobile App,policy1,Business,Email,Email,Morning,French,3
15,41,Female,Widowed,2817.385717,11/24/2024,7771.6,185.685,Associate Degree,Uttar Pradesh,Teacher,policy3,Chat,policy1,Individual,Email,In-Person Meeting,Weekends,English,2
16,33,Female,Divorced,7670.741126,1/3/2023,40406,125.707,Associate Degree,Kerala,Manager,policy3,Chat,policy1,Business,In-Person Meeting,In-Person Meeting,Afternoon,Mandarin,4
17,30,Female,Single,1840.054109,4/28/2024,5830.8,194.471,High School Diploma,Haryana,Artist,policy5,Chat,policy2,Family,In-Person Meeting,Text,Anytime,French,1
18,58,Male,Single,11561.92194,11/12/2024,22290.5,75.725,Associate Degree,Uttarakhand,Artist,policy3,Chat,policy3,Group,Phone,Mail,Morning,English,4
19,50,Female,Married,4261.551702,2/9/2018,9601.5,51.166,Bachelor's Degree,Manipur,Teacher,policy4,Mobile App,policy2,Individual,In-Person Meeting,Phone,Anytime,Spanish,3
20,42,Female,Divorced,10537.53443,9/2/2021,14542.8,40.657,Doctorate,Andaman and Nicobar Islands,Entrepreneur,policy2,Email,policy4,Business,Email,Phone,Morning,English,4
21,30,Male,Single,2393.605458,6/3/2023,42237,2111.355,Master's Degree,Nagaland,Nurse,policy1,Mobile App,policy1,Family,Mail,In-Person Meeting,Weekends,Mandarin,1
22,29,Female,Divorced,10631.46847,7/8/2024,41497,139.748,Associate Degree,Arunachal Pradesh,Artist,policy3,Chat,policy1,Group,Email,Text,Afternoon,Mandarin,4
23,26,Female,Single,1925.160303,12/29/2023,19914.3,599.723,Doctorate,Uttarakhand,Engineer,policy3,Email,policy3,Business,Text,Mail,Anytime,German,1
24,44,Male,Married,2012.739404,11/27/2023,43056.2,1151.426,Associate Degree,Uttar Pradesh,Nurse,policy1,Email,policy1,Group,Phone,Mail,Morning,Spanish,2
25,36,Male,Married,501.317866,7/9/2024,10418.9,275.555,Bachelor's Degree,Tripura,Nurse,policy3,Phone,policy4,Business,In-Person Meeting,In-Person Meeting,Evening,French,2
26,41,Female,Divorced,3838.661909,5/16/2023,32177.2,108.949,Master's Degree,Puducherry,Salesperson,policy1,Phone,policy5,Family,Text,Mail,Afternoon,German,4
27,54,Male,Married,10327.84248,1/23/2024,6467.7,22.973,Master's Degree,Mizoram,Teacher,policy1,Chat,policy1,Group,Email,Text,Weekends,English,4
28,48,Male,Widowed,3296.240039,4/19/2014,25860.6,163.895,High School Diploma,Uttarakhand,Engineer,policy3,Mobile App,policy5,Business,Email,Text,Afternoon,Mandarin,3
29,52,Male,Married,4232.723376,11/14/2020,29983.6,295.742,Associate Degree,Dadra and Nagar Haveli,Salesperson,policy3,Phone,policy4,Group,Email,Email,Anytime,Spanish,3
30,30,Male,Single,1857.673248,3/3/2024,40690.2,1625.309,Master's Degree,Punjab,Lawyer,policy4,Mobile App,policy4,Business,Text,In-Person Meeting,Evening,English,1
