ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language,Cluster
60,24,Female,Single,1529.820781,12/22/2022,25166,980.816,Doctorate,Sikkim,Nurse,policy3,Email,policy3,Group,Email,Email,Weekends,Mandarin,1
3335,30,Female,Divorced,1902.483643,5/27/2023,41725.7,1788.001,High School Diploma,Telangana,Nurse,policy5,Mobile App,policy1,Family,Email,Email,Anytime,German,1
320,34,Male,Single,1892.661566,11/14/2023,13667.2,430.106,Master's Degree,Manipur,Artist,policy5,In-Person,policy4,Business,Mail,Email,Anytime,English,1
2039,27,Male,Married,1840.054109,10/27/2023,5830.8,194.471,High School Diploma,Haryana,Artist,policy5,Chat,policy2,Family,In-Person Meeting,Text,Anytime,French,1
2795,20,Female,Separated,2393.605458,2/13/2024,42237,2111.355,Master's Degree,Nagaland,Nurse,policy1,Mobile App,policy1,Family,Mail,In-Person Meeting,Weekends,Mandarin,1
1816,29,Female,Single,1925.160303,7/25/2023,19914.3,599.723,Doctorate,Uttarakhand,Engineer,policy3,Email,policy3,Business,Text,Mail,Anytime,German,1
2661,23,Female,Single,1857.673248,1/10/2023,40690.2,1625.309,Master's Degree,Punjab,Lawyer,policy4,Mobile App,policy4,Business,Text,In-Person Meeting,Evening,English,1
1192,25,Male,Single,2202.980753,4/16/2023,18918.2,782.436,Doctorate,Assam,Salesperson,policy1,Phone,policy2,Business,Email,In-Person Meeting,Evening,English,1
2943,24,Male,Single,1587.215429,7/27/2022,44845.6,1403.536,Doctorate,Telangana,Engineer,policy5,Mobile App,policy4,Group,Email,Mail,Evening,Spanish,1
2298,37,Male,Single,1963.14038,1/19/2024,24117.2,1041.551,High School Diploma,Meghalaya,Entrepreneur,policy3,Phone,policy2,Group,Email,Text,Anytime,English,1
949,26,Female,Married,1804.799814,9/18/2022,16458.5,730.14,Master's Degree,Himachal Pradesh,Artist,policy3,In-Person,policy1,Business,Email,Phone,Afternoon,French,1
2169,34,Male,Married,1208.701656,1/23/2023,30039.6,913.966,High School Diploma,Jharkhand,Entrepreneur,policy1,Phone,policy5,Business,Email,Text,Anytime,English,1
27,20,Female,Single,1722.017619,6/4/2023,23386.8,827.809,Associate Degree,Andaman and Nicobar Islands,Manager,policy3,Mobile App,policy3,Business,Text,Phone,Afternoon,Mandarin,1
504,33,Male,Single,1636.514394,7/22/2023,49987.7,2122.444,Doctorate,Himachal Pradesh,Teacher,policy3,Mobile App,policy1,Individual,In-Person Meeting,Email,Anytime,Spanish,1
831,26,Female,Divorced,1777.581551,1/16/2023,18633,864.237,Doctorate,Kerala,Teacher,policy1,Email,policy3,Group,In-Person Meeting,In-Person Meeting,Evening,Spanish,1
2481,20,Male,Single,1988.319454,2/20/2023,35411.9,1679.058,Doctorate,Lakshadweep,Artist,policy1,Mobile App,policy5,Business,Text,Phone,Weekends,French,1
2799,39,Male,Married,1870.147116,11/13/2022,35562.8,1768.654,Doctorate,Tripura,Doctor,policy5,In-Person,policy3,Family,Email,In-Person Meeting,Morning,Mandarin,1
1124,33,Female,Single,968.0238483,6/5/2023,17240.9,529.988,Master's Degree,Jharkhand,Entrepreneur,policy4,Mobile App,policy2,Business,Email,Mail,Evening,German,1
3328,28,Male,Single,1686.962378,3/6/2024,17146.5,583.832,Master's Degree,Uttar Pradesh,Salesperson,policy4,Mobile App,policy1,Family,Email,Text,Evening,Mandarin,1
225,23,Male,Single,2065.267532,6/14/2022,25462.5,1215.542,Associate Degree,Lakshadweep,Doctor,policy5,Mobile App,policy4,Business,Text,In-Person Meeting,Anytime,French,1
3022,34,Male,Single,1526.308299,2/2/2024,22520.3,779.686,High School Diploma,Bihar,Engineer,policy2,Mobile App,policy5,Family,Email,Phone,Afternoon,French,1
37,21,Male,Single,2079.989634,7/5/2022,29855,1098.589,High School Diploma,Tripura,Salesperson,policy3,In-Person,policy5,Family,Mail,Mail,Weekends,German,1
3203,20,Female,Single,2178.259443,9/18/2022,20290.6,728.963,Bachelor's Degree,Arunachal Pradesh,Salesperson,policy3,Mobile App,policy2,Group,Text,Text,Weekends,English,1
44,29,Female,Single,1556.541561,7/14/2022,17097.5,831.632,High School Diploma,Jharkhand,Engineer,policy2,In-Person,policy3,Business,Text,Phone,Weekends,German,1
82,27,Male,Single,1655.866211,3/23/2023,26646.4,887.226,High School Diploma,Tamil Nadu,Entrepreneur,policy2,Mobile App,policy5,Group,Text,In-Person Meeting,Weekends,German,1
646,23,Male,Married,2079.846881,6/4/2023,16529.4,627.1,Doctorate,Uttarakhand,Salesperson,policy3,Chat,policy5,Family,Email,Mail,Afternoon,French,1
2283,34,Female,Single,1152.641248,8/4/2022,19744.3,863.965,Master's Degree,Gujarat,Entrepreneur,policy1,Email,policy4,Business,Phone,In-Person Meeting,Evening,French,1
2441,29,Male,Divorced,1490.557739,5/28/2023,25789.2,984.495,High School Diploma,Andaman and Nicobar Islands,Salesperson,policy1,In-Person,policy2,Business,In-Person Meeting,In-Person Meeting,Afternoon,Spanish,1
1322,40,Male,Single,1077.521896,3/30/2022,48300.6,1888.766,Doctorate,Arunachal Pradesh,Doctor,policy1,Chat,policy1,Group,Text,Phone,Morning,Spanish,1
423,28,Male,Married,1656.153209,4/25/2022,48183.9,2366.457,Doctorate,Chhattisgarh,Teacher,policy1,Chat,policy2,Business,Email,Email,Afternoon,Spanish,1
479,36,Male,Divorced,1422.565712,2/12/2023,39575.7,1546.452,Doctorate,Andhra Pradesh,Entrepreneur,policy3,In-Person,policy1,Family,In-Person Meeting,Phone,Evening,German,1
3030,28,Female,Divorced,1953.40033,2/22/2024,25761.1,1085.188,Bachelor's Degree,Uttar Pradesh,Nurse,policy2,In-Person,policy1,Group,In-Person Meeting,Email,Morning,German,1
1271,26,Male,Single,1487.231918,3/4/2023,43659.8,1381.546,Master's Degree,Uttarakhand,Manager,policy3,Phone,policy3,Group,Mail,Email,Weekends,German,1
1102,22,Male,Married,2132.097116,4/24/2023,48347.8,1836.555,Bachelor's Degree,Madhya Pradesh,Lawyer,policy4,Chat,policy5,Family,Email,In-Person Meeting,Anytime,Spanish,1
953,32,Female,Single,1652.010642,2/6/2024,44360,1719.041,Doctorate,Madhya Pradesh,Manager,policy3,In-Person,policy3,Business,Email,In-Person Meeting,Weekends,Spanish,1
2132,21,Female,Single,1554.85044,9/2/2023,33642.9,1546.708,Associate Degree,West Bengal,Artist,policy1,Email,policy1,Business,Text,In-Person Meeting,Weekends,German,1
1754,32,Male,Single,2315.876337,12/30/2022,18784.8,597.135,Master's Degree,Gujarat,Doctor,policy5,In-Person,policy5,Family,Text,Mail,Morning,French,1
2869,26,Female,Single,1653.197,4/22/2023,33482.1,1401.126,Bachelor's Degree,Telangana,Lawyer,policy3,Mobile App,policy2,Group,Mail,In-Person Meeting,Morning,Spanish,1
702,30,Male,Single,1237.789089,3/15/2024,47190.9,1427.998,Doctorate,Andaman and Nicobar Islands,Lawyer,policy2,Email,policy4,Individual,Mail,Email,Morning,Mandarin,1
315,30,Female,Single,1876.968983,11/15/2023,32663.3,1612.169,Doctorate,Andaman and Nicobar Islands,Salesperson,policy1,Email,policy3,Business,Phone,Text,Evening,Mandarin,1
2886,28,Female,Single,1611.857276,1/21/2024,9642.7,316.714,Associate Degree,Punjab,Entrepreneur,policy5,Email,policy2,Individual,Email,Email,Weekends,Spanish,1
96,31,Male,Married,2161.161857,10/12/2023,35662.6,1326.746,High School Diploma,Sikkim,Entrepreneur,policy5,Mobile App,policy3,Group,Mail,Phone,Morning,German,1
2211,23,Female,Married,1572.87933,11/16/2023,46180.5,1608.97,Doctorate,Odisha,Artist,policy3,Phone,policy3,Group,Phone,Mail,Evening,Spanish,1
2649,32,Male,Married,1728.071507,10/8/2023,7679,357.237,Doctorate,Haryana,Nurse,policy2,Mobile App,policy1,Individual,Phone,Phone,Morning,French,1
1064,19,Female,Married,1949.282972,2/1/2022,24777.5,1234.542,Doctorate,Haryana,Doctor,policy4,Email,policy1,Group,In-Person Meeting,Text,Weekends,German,1
2483,27,Male,Married,2836.869512,9/5/2022,32196.7,1595.137,Doctorate,Himachal Pradesh,Manager,policy5,Phone,policy1,Family,Text,In-Person Meeting,Evening,German,1
1776,32,Male,Married,2563.365362,11/9/2023,12046.7,380.928,High School Diploma,Tamil Nadu,Lawyer,policy5,Email,policy4,Business,Phone,Email,Weekends,German,1
1181,37,Female,Single,1720.343563,5/20/2023,35190.8,1293.802,High School Diploma,Haryana,Manager,policy2,In-Person,policy5,Business,Mail,In-Person Meeting,Anytime,Spanish,1
1029,29,Female,Single,1748.88931,6/6/2022,24133.5,1048.307,Associate Degree,Nagaland,Nurse,policy1,Mobile App,policy4,Group,Mail,Mail,Weekends,Mandarin,1
3014,24,Female,Married,1891.094201,5/1/2023,10174.5,446.786,Master's Degree,Telangana,Nurse,policy5,Phone,policy5,Family,Text,Mail,Afternoon,Mandarin,1
799,32,Female,Divorced,1267.863083,2/21/2022,32490.7,1274.596,Bachelor's Degree,Madhya Pradesh,Manager,policy4,Phone,policy3,Individual,Email,Text,Weekends,German,1
1804,39,Male,Single,1344.441021,2/12/2022,14447.6,656.925,Doctorate,Chhattisgarh,Engineer,policy4,In-Person,policy1,Business,Email,Mail,Afternoon,French,1
3398,30,Male,Married,1478.176635,11/13/2023,17613.1,667.136,Master's Degree,Dadra and Nagar Haveli,Entrepreneur,policy5,In-Person,policy5,Business,Text,In-Person Meeting,Weekends,French,1
3272,28,Female,Divorced,1890.40826,7/18/2022,22407.3,787.79,Master's Degree,Bihar,Entrepreneur,policy5,Chat,policy3,Business,Email,In-Person Meeting,Evening,German,1
1158,20,Male,Divorced,2190.953844,12/14/2023,44834.2,1451.136,Doctorate,Haryana,Lawyer,policy5,Chat,policy2,Business,Phone,Phone,Afternoon,English,1
2560,20,Female,Single,1718.815883,10/6/2023,42849.6,1787.132,Bachelor's Degree,Lakshadweep,Doctor,policy3,Chat,policy3,Group,Text,In-Person Meeting,Morning,French,1
1057,26,Female,Single,1974.836971,8/17/2023,7937.5,394.753,Bachelor's Degree,Uttar Pradesh,Salesperson,policy4,Phone,policy1,Group,Phone,Phone,Morning,Spanish,1
1878,25,Female,Single,2359.640982,12/27/2023,9940.7,449.377,Doctorate,Arunachal Pradesh,Salesperson,policy1,Phone,policy1,Business,In-Person Meeting,In-Person Meeting,Weekends,Mandarin,1
